inn,класс,год_дела,стадия,вес,okved,окопф,выручка,автономия,ликвидность,падение_выручки,ча_отрицательные_2года,убыток_2года,флаги
0323373049,выжил,,,9.81767,16.10,12300,,1,,,False,,
0323402532,выжил,,,9.81767,42.11,12300,7350,1,,0.0289338,False,False,
0323409601,выжил,,,9.81767,49.41,12300,44541,0.0871065,,-0.6493,False,False,коэффициент_автономии
0323414418,выжил,,,9.81767,85.11,75500,450,,,,,False,
0326009506,выжил,,,9.81767,95.11,12300,,1,,,False,,
0326044444,выжил,,,9.81767,68.20.2,12300,22979,-0.126668,,-0.611092,True,False,коэффициент_автономии;ча_отрицательные_2года
0326497412,выжил,,,9.81767,56.10,12300,3167,0.833333,,-0.242448,False,False,
0326505906,выжил,,,9.81767,,12300,,1,,,False,,
0326507580,выжил,,,9.81767,08.99.31,12300,,1,,,False,,
0326508015,выжил,,,9.81767,45.3,60000,,1,,,False,,
0326553635,выжил,,,9.81767,46.77,12300,7641,0.88345,8.58,-0.0404412,False,False,
0326569515,выжил,,,9.81767,73.20,12300,35,1,,0.125,False,False,
0326572797,выжил,,,9.81767,71.12,12300,13989,0.284592,,-1.36981,False,False,
0326596004,выжил,,,9.81767,73.20,12300,57,1,,,,False,
0400018443,выжил,,,9.81767,94.99,20200,,,,,False,,
0411154776,выжил,,,9.81767,80.10,12300,11236,1,,-0.442177,False,False,
0504007206,выжил,,,9.81767,01.4,14100,726,1,,0.129496,False,False,
0511004647,выжил,,,9.81767,52.21.22,12200,25712,0.717899,3.06998,-0.0774388,False,False,
0522019860,банкрот,2023,ProceedingsStopped,1,46.73.6,12300,,-5.74691,0.074108,,True,True,коэффициент_автономии;текущая_ликвидность;убыток_2года;ча_отрицательные_2года
0529909196,выжил,,,9.81767,01.5,14100,1031,0.692424,1.1538,,False,False,
0529909252,выжил,,,9.81767,01.5,14000,520,1,,,False,False,
0533018361,выжил,,,9.81767,42.11,12300,2772,,,,,False,
0543011799,выжил,,,9.81767,86.23,12300,626,1,,-0.343348,False,False,
0544013510,выжил,,,9.81767,,12300,4531,0.0119136,1.01608,,False,False,коэффициент_автономии
0546018150,выжил,,,9.81767,11.07.2,65,3970,-0.115416,,-0.103084,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
0562076880,выжил,,,9.81767,68.32,12165,1409,0.138829,,-0.41041,False,False,
0571016870,выжил,,,9.81767,35.11.4,12300,,,,,False,,
0572013649,выжил,,,9.81767,56.10,12300,1346,0.579495,,,,False,
0572027578,выжил,,,9.81767,41.20,20102,,,,,False,,
0573007430,выжил,,,9.81767,46.37,12300,104752,0.344202,1.52828,-9521.91,False,False,
0573011637,выжил,,,9.81767,46.71,12300,207319,0.0542764,1.3482,-0.616976,False,False,коэффициент_автономии
0603020279,выжил,,,9.81767,01.25.1,12300,689889,0.127053,10.703,0.583362,False,False,падение_выручки
0603020783,выжил,,,9.81767,13.92,12300,20112,1,,-1.11951,False,False,
0606006963,выжил,,,9.81767,11.07,12300,,,,,False,,
0705007750,выжил,,,9.81767,56.10,12165,3506,0.555556,2.25,-1.92167,False,False,
0707012787,выжил,,,9.81767,,12300,1118,0.998418,,0.763586,False,False,падение_выручки
0708012613,выжил,,,9.81767,,20112,10719,1,,0.254123,False,False,
0716009678,выжил,,,9.81767,01.1,19000,,-0.286279,8.03345,,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
0724000559,выжил,,,9.81767,47.11,12300,844547,0.332669,,,False,False,
0725027345,выжил,,,9.81767,14.14,12300,226,1.49074,2.63415,0.78122,False,False,падение_выручки
0726011098,выжил,,,9.81767,68.31,12300,,-9.20112,,,True,False,коэффициент_автономии;ча_отрицательные_2года
0726021723,выжил,,,9.81767,86.23,12300,0,1,,,False,False,
0814155490,выжил,,,9.81767,46.49.33,12300,21354,0.629968,,-1.33021,False,False,
0814162755,выжил,,,9.81767,31.0,12300,17414,0.939903,,-0.384041,False,False,
0816034043,выжил,,,9.81767,71.12.1,12300,6991,0.691814,3.24479,-0.127763,False,False,
0901046515,выжил,,,9.81767,49.41.2,12300,3857,0.993853,25.1875,0.734914,False,False,падение_выручки
0912004556,выжил,,,9.81767,79.11,12300,,-0.334761,,,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
0917000153,выжил,,,9.81767,43.11,12300,27520,0.897782,,0.439443,False,False,
1001004095,выжил,,,9.81767,20.11,12267,282253,0.863737,4.77837,-1.02359,False,False,
1001012716,выжил,,,9.81767,33.13,12247,10318,0.776276,4.06637,0.20777,False,False,
1001125967,выжил,,,9.81767,23.70,12300,444,0.0363636,,0,False,False,коэффициент_автономии
1001252860,выжил,,,9.81767,72.19,12300,,,,,,,
1001275031,выжил,,,9.81767,68.31,12165,1206,0.60177,2.51111,0.0730208,False,False,
1001290880,выжил,,,9.81767,70.22,12300,1056,1,,0.021316,False,False,
1001312477,выжил,,,9.81767,23.70.2,10000,6869,0.00538503,,-0.0598673,False,False,коэффициент_автономии
1001332850,выжил,,,9.81767,20.59,12300,14591,0.373133,,-1.28448,False,False,
1001336870,выжил,,,9.81767,47.73,12300,22730,-0.419131,0.670226,0.617069,False,False,коэффициент_автономии;падение_выручки;текущая_ликвидность
1003005626,выжил,,,9.81767,56.29,12300,4803,0.831214,,-0.223694,False,False,
1007018070,выжил,,,9.81767,,12300,34468,0.676991,,0.0202388,False,False,
1007027324,выжил,,,9.81767,,12300,12108,0.814172,,-0.244911,False,False,
1012000110,выжил,,,9.81767,47.73,65243,26604,0.470304,1.8031,-0.118614,False,False,
1014016933,выжил,,,9.81767,36.00,65243,50572,0.925729,,-0.0519616,False,False,
1101051363,выжил,,,9.81767,46.46,12300,1906,0.985757,,0.908105,False,False,падение_выручки
1101140768,банкрот,2023,ProceedingsStopped,1,,12300,31112,0.00141243,,-1.66621,False,False,коэффициент_автономии
1101159857,выжил,,,9.81767,80.10,12300,,1,,,False,,
1101162948,выжил,,,9.81767,94.20,20202,,,,,,,
1102040364,выжил,,,9.81767,68.32.1,12300,51155,0.900502,,0.006178,False,False,
1102074557,выжил,,,9.81767,41.20,12300,,-0.380952,0.724138,,True,,коэффициент_автономии;текущая_ликвидность;ча_отрицательные_2года
1102081177,выжил,,,9.81767,,12300,39345,0.0802821,,-1.77214,False,False,коэффициент_автономии
1103039690,выжил,,,9.81767,68.31.12,12300,1781,0.751305,,0.0341649,False,False,
1109007711,выжил,,,9.81767,84.11.35,75404,,,,,False,,
1121017709,выжил,,,9.81767,47.1,12300,10088,0.868526,7.60606,0.107888,False,False,
1202005500,выжил,,,9.81767,85.14,75403,,,,,,False,
1203006031,выжил,,,9.81767,59.14,12300,29660,0.943714,,-0.639761,False,False,
1207901878,выжил,,,9.81767,47.25,12300,9977,0.965941,26.7222,0.0477236,False,False,
1208006980,банкрот,2022,ProceedingsStopped,1,36.00.1,12300,26503,-4.32667,0.180751,-0.102684,True,True,коэффициент_автономии;текущая_ликвидность;убыток_2года;ча_отрицательные_2года
1215030783,выжил,,,9.81767,94.12,20200,,0,1,,False,,коэффициент_автономии
1215160165,выжил,,,9.81767,81.22,12300,79478,0.047231,0.805841,0.0955974,False,False,коэффициент_автономии;текущая_ликвидность
1215225670,выжил,,,9.81767,,12300,16485,-0.28558,,-1.7678,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
1215233511,выжил,,,9.81767,43.21,12300,546,0.272727,,-59.6667,False,False,
1216008029,выжил,,,9.81767,79.11,12300,0,-1.47601,,1,True,False,коэффициент_автономии;падение_выручки;ча_отрицательные_2года
1303000107,выжил,,,9.81767,,20112,301,1,,0.0227273,False,,
1304000364,выжил,,,9.81767,,20200,,,,,False,,
1311088803,выжил,,,9.81767,46.69.5,12300,371783,0.807077,,-0.331253,False,False,
1320001252,выжил,,,9.81767,46.90,12300,0,1,,1,False,False,падение_выручки
1322001635,выжил,,,9.81767,45.31,12300,536,0.0423729,,-0.240741,False,False,коэффициент_автономии
1326183665,выжил,,,9.81767,71.12,12300,747,0.151932,0.000785752,-0.0671429,False,False,текущая_ликвидность
1326204562,выжил,,,9.81767,68.32,20716,,,,,,,
1326228972,выжил,,,9.81767,68.20,12300,262,0.979,,-0.29064,False,False,
1326248337,выжил,,,9.81767,46.73,12300,2804,0.0333722,1.03452,-5.72422,False,False,коэффициент_автономии
1326248376,выжил,,,9.81767,77.11,12300,0,-41,,1,True,False,коэффициент_автономии;падение_выручки;ча_отрицательные_2года
1327002022,выжил,,,9.81767,46.90,12300,969864,0.776349,22.037,-0.11458,False,False,
1327009853,выжил,,,9.81767,77.32,19000,5301,1,,-0.178,False,False,
1327033863,банкрот,2023,Tender,1,46.31,12300,221786,0.100255,1.24835,-0.189641,False,False,
1327153261,выжил,,,9.81767,94.20,20202,,,,,,,
1402025374,выжил,,,9.81767,94.99,20200,,,,,,,
1415010738,выжил,,,9.81767,46.31,20110,0,0.783117,0.159557,1,False,False,падение_выручки;текущая_ликвидность
1415014771,выжил,,,9.81767,41.20,12300,,1,,,,,
1430009399,выжил,,,9.81767,,20111,,1,,,False,,
1433026018,выжил,,,9.81767,52.21,20101,,,,,,,
1433030529,выжил,,,9.81767,94.99,20200,722,,,0.178612,,False,
1434038320,выжил,,,9.81767,72.19,12300,267,-1.67111,,0.183486,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
1435233468,выжил,,,9.81767,43.99.3,12300,225645,0.0579328,,-2.99973,False,False,коэффициент_автономии
1435281863,выжил,,,9.81767,47.73,12300,,,,,False,,
1435292008,выжил,,,9.81767,62.09,12300,,,,,False,False,
1435295496,выжил,,,9.81767,71.12.8,12300,39663,0.779445,,-0.154941,False,False,
1435303820,выжил,,,9.81767,47.21,20110,0,,,1,False,False,падение_выручки
1435313071,выжил,,,9.81767,47.41,12300,2031,0.0301205,,-0.198937,False,False,коэффициент_автономии
1435328261,выжил,,,9.81767,94.12,20200,,0,1,,False,False,коэффициент_автономии
1435333409,выжил,,,9.81767,38.11,12300,8140,0.291328,3.41272,-0.404175,False,True,убыток_2года
1435342971,выжил,,,9.81767,68.32,12300,3700,0.00868987,,0.0726817,False,True,коэффициент_автономии;убыток_2года
1435347377,выжил,,,9.81767,42.22,12300,4788,0.955224,,-1.07004,False,False,
1435355233,выжил,,,9.81767,68.31,12300,48263,0.564186,,0.251968,False,False,
1435356269,выжил,,,9.81767,08.12.1,12300,,,,,False,,
1435357150,выжил,,,9.81767,88.99,70400,,,,,False,,
1512018193,выжил,,,9.81767,22.23,12300,39896,0.210378,,0.329671,False,False,
1513035434,выжил,,,9.81767,10.72.39,12300,0,1,,,False,False,
1513062614,выжил,,,9.81767,94.99,20200,,,,,,,
1513071986,выжил,,,9.81767,64.99,70400,,,,,,,
1513072059,банкрот,2024,Tender,1,10.62,12300,0,0.780627,,,False,False,
1514014363,банкрот,2023,Tender,1,36.00.2,65243,,,,,,,
1515915402,выжил,,,9.81767,52.10,12165,6994,0.213397,0.791151,0.740925,False,False,падение_выручки;текущая_ликвидность
1614014159,выжил,,,9.81767,41.20,12300,0,-0.165517,,1,True,False,коэффициент_автономии;падение_выручки;ча_отрицательные_2года
1616021049,выжил,,,9.81767,23.32,12300,934929,0.818407,1.7592,-0.377799,False,False,
1616027280,выжил,,,9.81767,46.46,12300,104201,0.771369,,-0.931759,False,False,
1623014589,выжил,,,9.81767,,71400,,0,,,,,коэффициент_автономии
1634006251,выжил,,,9.81767,01.11,12300,75345,0.682291,4.61039,0.0971565,False,False,
1639059754,выжил,,,9.81767,49.41,12300,22449,-0.0977221,0.880405,-0.168002,True,True,коэффициент_автономии;текущая_ликвидность;убыток_2года;ча_отрицательные_2года
1639061312,выжил,,,9.81767,49.41,12300,6176,0.0412558,,,,False,коэффициент_автономии
1644021192,выжил,,,9.81767,71.11.1,12300,17461,-0.0819748,0.911947,0.0310749,True,False,коэффициент_автономии;текущая_ликвидность;ча_отрицательные_2года
1644033060,выжил,,,9.81767,01.25.1,20702,,,,,,,
1644059647,выжил,,,9.81767,,12300,2699,0.990205,,-0.249537,False,False,
1644066556,выжил,,,9.81767,41.20,12300,4733,0.0905598,,0.498623,False,False,коэффициент_автономии
1644093197,банкрот,2024,Tender,1,42.11,12300,52889,0.0245024,1.06993,-2.2702,False,False,коэффициент_автономии
1644097561,выжил,,,9.81767,68.31,12300,5008,0.809871,9.00505,,False,False,
1645007049,выжил,,,9.81767,10.71,19000,557,1,,0.247297,False,False,
1645025866,банкрот,2022,ProceedingsStopped,1,52.29,12300,63665,0.673937,5.47285,-0.59266,False,False,
1645034074,выжил,,,9.81767,33.12,12300,3125,0.0202805,,0.112216,False,False,коэффициент_автономии
1646016800,выжил,,,9.81767,20.11,12300,119971,0.016289,1.09265,-0.82028,False,False,коэффициент_автономии
1646021423,выжил,,,9.81767,46.1,12300,3743,0.205035,1.36543,0.382547,False,False,
1648024130,выжил,,,9.81767,79.1,12300,,1,,,False,,
1648037115,выжил,,,9.81767,50.30.2,12300,13250,0.920608,0.409201,0.533155,False,True,падение_выручки;текущая_ликвидность;убыток_2года
1648047120,выжил,,,9.81767,25.11,12300,47341,0.144968,1.22398,-1.77611,False,False,
1648049086,выжил,,,9.81767,45.20,12300,17727,0.71753,,-0.260363,False,False,
1650057782,выжил,,,9.81767,60.10,12300,1752,0.492126,1.37209,-0.221757,False,False,
1650151400,выжил,,,9.81767,46.69.3,12300,653277,0.193127,1.23935,-0.38339,False,False,
1650181998,выжил,,,9.81767,,12300,30281,0.0305871,,-0.39364,False,False,коэффициент_автономии
1650230620,выжил,,,9.81767,52.21.24,12300,144,0.888889,,0.0828025,False,False,
1650231751,выжил,,,9.81767,46.69.2,12300,2476,-0.588536,,,,False,коэффициент_автономии
1650277227,выжил,,,9.81767,69.20.2,12300,6460,0.405719,,0.803319,False,True,падение_выручки;убыток_2года
1650293211,выжил,,,9.81767,69.20,12300,1200,0.89586,,0.401496,False,False,
1650316772,выжил,,,9.81767,46.63,12300,11880,-0.0272727,,,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
1650343007,выжил,,,9.81767,43.22,12300,65594,0.148233,1.12552,0.218235,False,False,
1650357200,выжил,,,9.81767,63.91,12300,6192,-1.48702,,0.0650762,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
1650357553,выжил,,,9.81767,,12300,,1,,,False,,
1650367350,выжил,,,9.81767,46.43,12300,,1,,,False,,
1650371484,выжил,,,9.81767,45.31.1,12300,61857,0.227309,,-1.3476,False,False,
1650377310,выжил,,,9.81767,25.11,12300,111456,0.0589815,,-1.03083,False,False,коэффициент_автономии
1650395164,выжил,,,9.81767,,12300,1524,0.157895,1.1875,,False,False,
1651032131,банкрот,2024,Watching,1,43.99.5,12267,1.41188e+06,0.422052,1.41756,-1.43636,False,False,
1652027832,выжил,,,9.81767,47.73,12300,,1,,,False,,
1655056782,выжил,,,9.81767,68.32.2,12300,19103,0.914624,7.78754,-1.70122,False,False,
1655163470,выжил,,,9.81767,64.19,12300,5208,0.0500595,,0.270997,False,False,коэффициент_автономии
1655182963,выжил,,,9.81767,01.1,12300,,,,,,,
1655199300,выжил,,,9.81767,,12300,1783,-0.426295,0.701117,-1.35224,True,False,коэффициент_автономии;текущая_ликвидность;ча_отрицательные_2года
1655287356,выжил,,,9.81767,71.20.9,12300,37504,-0.0633014,1.04185,-3.72283,True,False,коэффициент_автономии;ча_отрицательные_2года
1655304925,выжил,,,9.81767,63.11.1,12300,33230,0.455197,,0.0365882,False,False,
1655417510,выжил,,,9.81767,46.41,12300,3131,0.00148456,1.00149,0.352965,False,,коэффициент_автономии
1655429547,выжил,,,9.81767,43.11,12300,23673,-0.0992665,,0.635665,True,True,коэффициент_автономии;падение_выручки;убыток_2года;ча_отрицательные_2года
1655456220,выжил,,,9.81767,73.11,12300,11146,0.00817996,,,,False,коэффициент_автономии
1655461195,выжил,,,9.81767,43.29,12300,15778,,,,,False,
1656087582,выжил,,,9.81767,68.31,12300,,0.0800971,,,False,,коэффициент_автономии
1656119347,выжил,,,9.81767,86.23,12300,2682,0.484515,,,,False,
1657024909,выжил,,,9.81767,,12300,291324,0.288926,0.779496,-0.276762,False,False,текущая_ликвидность
1657117590,выжил,,,9.81767,,12300,312,0.916667,,0.22963,False,False,
1657141240,выжил,,,9.81767,46.90,12300,,0.199966,,,False,,
1657261145,выжил,,,9.81767,63.99.1,12300,,1,,,False,,
1657262565,выжил,,,9.81767,46.73.2,12300,13555,0.0354468,1.03675,-6.95481,False,False,коэффициент_автономии
1657271513,выжил,,,9.81767,47.19,12300,1708,0.00970874,,,,False,коэффициент_автономии
1658045637,выжил,,,9.81767,,12267,174,0.0676501,1.43182,,False,True,коэффициент_автономии;убыток_2года
1658235476,выжил,,,9.81767,46.73.6,12300,,,,,,,
1659015434,выжил,,,9.81767,68.32.1,20100,,,2.70647,,,,
1659036522,выжил,,,9.81767,,20202,,0,1,,False,,коэффициент_автономии
1659051986,банкрот,2023,ProceedingsStopped,1,49.31.21,12300,5090,0.87144,,0.742161,False,True,падение_выручки;убыток_2года
1659141887,выжил,,,9.81767,46.72.2,12300,,-0.142045,,,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
1659144550,выжил,,,9.81767,79.11,12300,419,0.697917,3.31034,-0.029484,False,False,
1659162446,выжил,,,9.81767,46.73,12300,349,0.0628571,1.06707,-1.07738,False,False,коэффициент_автономии
1659171391,выжил,,,9.81767,46.36,12300,0,1,,1,False,False,падение_выручки
1659171634,выжил,,,9.81767,46.38.29,12300,,0.906955,10.7474,,False,,
1659181826,банкрот,2023,ProceedingsStopped,1,41.20,12300,876082,0.0308608,1.03529,-0.0162787,False,False,коэффициент_автономии
1660124163,банкрот,2024,ProceedingsFinished,1,41.20,12300,954377,0.0424354,1.29971,-0.149482,False,False,коэффициент_автономии
1660143060,выжил,,,9.81767,86.23,12300,0,-0.508658,0.670819,1,True,False,коэффициент_автономии;падение_выручки;текущая_ликвидность;ча_отрицательные_2года
1660259717,выжил,,,9.81767,35.30.14,12300,38412,0.0638248,,-0.639857,False,False,коэффициент_автономии
1660263946,выжил,,,9.81767,47.9,12300,16393,0.995231,,-0.490815,False,False,
1660295232,выжил,,,9.81767,78.10,12300,17753,-0.1046,0.910958,-1.0317,True,False,коэффициент_автономии;текущая_ликвидность;ча_отрицательные_2года
1660308530,банкрот,2022,ProceedingsStopped,1,45.20,12300,34359,-0.0675492,,-4.78532,False,False,коэффициент_автономии
1660310064,выжил,,,9.81767,41.20,12300,4653,0.00904202,,-29.8146,False,False,коэффициент_автономии
1660335460,выжил,,,9.81767,23.20.1,12300,55,0.0362395,,0.988794,False,False,коэффициент_автономии;падение_выручки
1660346367,выжил,,,9.81767,,19000,47307,0.865351,7.42672,-4.09499,False,False,
1661045517,выжил,,,9.81767,01.62,12300,0,0,1,1,False,False,коэффициент_автономии;падение_выручки
1661050475,выжил,,,9.81767,,12300,28284,0.51772,,0.077856,False,False,
1661060219,выжил,,,9.81767,73.11,12300,107946,0.678992,,-99.4149,False,False,
1661062880,выжил,,,9.81767,49.41,12300,862,-0.983562,0.577532,0.451654,True,False,коэффициент_автономии;текущая_ликвидность;ча_отрицательные_2года
1661063065,выжил,,,9.81767,41.20,12300,13362,0.0226537,,0.0775922,False,False,коэффициент_автономии
1661070270,выжил,,,9.81767,49.42,12300,2760,0.0261409,,,,False,коэффициент_автономии
1803002776,выжил,,,9.81767,94.20,20202,,,,,,,
1805001016,выжил,,,9.81767,,12267,430877,0.728177,3.24629,-0.208021,False,False,
1808205120,выжил,,,9.81767,41.20,12300,,0.677661,3.08423,,False,False,
1809004635,выжил,,,9.81767,94.1,20606,,,,,False,,
1821015866,выжил,,,9.81767,68.32.1,20700,,,,,,,
1823002439,выжил,,,9.81767,84.11.35,20603,,,,,False,,
1827017394,выжил,,,9.81767,68.32.1,20716,,0.205864,1.25923,,False,False,
1828018626,выжил,,,9.81767,68.20.2,12300,1796,0.0369302,22.2353,-0.270156,False,False,коэффициент_автономии
1829008606,выжил,,,9.81767,68.32.2,20702,,,,,,,
1831102204,выжил,,,9.81767,47.30,12300,,1,,,False,,
1831172392,выжил,,,9.81767,95.12,12300,0,1,,1,False,False,падение_выручки
1831174015,выжил,,,9.81767,91.01,12300,1516,0.535325,2.10949,0.112932,False,False,
